consommation,previsionJ
54578,54200
54331,53750
54083,53300
53126,52400
52169,51500
52229,51850
52289,52200
52080,51700
51870,51200
51597,50700
51324,50200
50416,49350
49509,48500
48921,47900
48333,47300
47724,46700
47114,46100
46722,45700
46329,45300
46095,45200
45861,45100
45979,45100
46097,45100
46081,45150
46066,45200
46344,45450
46623,45700
46702,45900
46780,46100
47043,46250
47305,46400
47530,46750
47756,47100
47864,47250
47973,47400
48129,47350
48286,47300
48698,47750
49111,48200
49407,48250
49704,48300
49957,48600
50210,48900
50409,49350
50608,49800
50907,49900
51206,50000
51522,50700
51839,51400
52349,51600
52860,51800
53121,52250
53383,52700
52627,51500
51872,50300
51122,49650
50373,49000
49709,48900
49046,48800
48485,47900
47923,47000
47631,46750
47340,46500
47077,46250
46815,46000
46845,45950
46875,45900
47134,46400
47393,46900
48581,48100
49769,49300
50956,50150
52144,51000
52908,51400
53673,51800
54305,52300
54937,52800
55226,53000
55515,53200
55286,53200
55057,53200
54611,53100
54165,53000
53773,52550
53380,52100
52974,51350
52568,50600
52127,49900
51686,49200
52053,49850
52420,50500
53439,51650
54459,52800
54190,52650
53921,52500
53832,52300
53743,52800
53114,52000
52484,51200
51416,50300
50348,49400
50330,49750
50312,50100
50075,49950
49837,49800
49573,49000
49309,48200
48440,47400
47571,46600
47051,46050
46530,45500
46047,45050
45564,44600
45406,44450
45249,44300
45095,44100
44941,43900
45187,44250
45432,44600
45502,44650
45573,44700
46038,45050
46503,45400
46688,45650
46874,45900
47284,46150
47694,46400
48050,46850
48406,47300
48719,47600
49031,47900
49365,48350
49699,48800
50450,49350
51201,49900
51774,50600
52347,51300
52855,51700
53364,52100
53729,52550
54095,53000
54422,53250
54749,53500
55355,54550
55961,55600
56770,55500
57580,55400
57931,56350
58281,57300
57276,55750
56270,54200
55430,53400
54591,52600
54017,52550
53443,52500
52684,51350
51925,50200
51683,50050
51441,49900
51149,49600
50857,49300
50936,49400
51016,49500
51275,50250
51534,51000
52559,52400
53584,53800
54838,54900
56093,56000
56993,56650
57892,57300
58664,57650
59435,58000
59493,57900
59551,57800
59120,57500
58689,57200
58059,56500
57428,55800
56904,55300
56381,54800
55831,54050
55282,53300
54624,52750
53967,52200
54095,52600
54223,53000
55082,54000
55941,55000
55670,55000
55399,55000
55294,54600
55188,53700
54384,52950
53581,52200
52554,51250
51527,50300
51451,50600
51376,50900
51174,50750
50973,50600
50731,49900
50490,49200
49674,48600
48858,48000
48471,47450
48084,46900
47653,46500
47222,46100
47305,46250
47388,46400
47473,46750
47559,47100
48571,47850
49583,48600
50394,49600
51206,50600
53072,52450
54938,54300
56394,55950
57850,57600
59324,58700
60799,59800
61809,61150
62819,62500
63298,62500
63778,62500
64026,62950
64275,63400
64509,63550
64743,63700
64819,63700
64894,63700
64964,63650
65034,63600
64966,63500
64897,63400
65008,63500
65119,63600
65449,64150
65780,64700
65989,64450
66198,64200
66232,64950
66266,65700
65610,64450
64954,63200
64462,62850
63971,62500
63489,62600
63008,62700
62485,61550
61961,60400
61635,60050
61308,59700
61124,59700
60939,59700
60774,59550
60609,59400
60849,60000
61089,60600
62120,61650
63150,62700
64170,63750
65189,64800
65872,65450
66555,66100
67378,66850
68201,67600
67779,67000
67357,66400
66498,65400
65639,64400
64533,63300
63426,62200
62451,61085
61475,59970
60573,59225
59670,58480
58885,57700
58099,56920
58036,57305
57972,57690
58745,58530
59517,59370
59071,59185
58625,59000
58453,58450
58281,57400
57516,56500
56751,55600
55546,54600
54340,53600
54247,53750
54153,53900
53964,53800
53774,53700
53479,52950
53184,52200
52436,51550
51687,50900
51267,50450
50848,50000
50396,49650
49943,49300
49931,49250
49919,49200
50065,49650
50211,50100
51087,50750
51963,51400
52766,52550
53569,53700
55289,55250
57010,56800
58398,58250
59785,59700
61402,61250
63019,62800
64023,63850
65028,64900
65568,65350
66109,65800
66182,65900
66255,66000
66391,66250
66526,66500
66664,66300
66801,66100
66922,66500
67042,66900
67089,66700
67135,66500
67402,66700
67669,66900
68039,67250
68408,67600
68613,67800
68817,68000
68915,67400
69013,66800
68326,66350
67638,65900
67166,65900
66693,65900
66230,65300
65767,64700
65285,64250
64804,63800
64524,63450
64244,63100
64105,62900
63966,62700
63844,62600
63722,62500
63932,63000
64142,63500
65069,64450
65997,65400
66976,66300
67956,67200
68755,67900
69555,68600
70264,69350
70974,70100
70687,69550
70401,69000
69524,67950
68647,66900
67563,65800
66479,64700
65553,63900
64627,63100
63778,62200
62929,61300
62179,60450
61429,59600
61473,60000
61518,60400
62366,61350
63214,62300
62773,61965
62331,61630
62196,61015
62060,60400
61368,59600
60677,58800
59542,57950
58407,57100
58500,57550
58592,58000
58407,58100
58222,58200
58166,57550
58109,56900
57430,56350
56750,55800
56445,55450
56139,55100
55813,54800
55487,54500
55619,54800
55750,55100
56008,55500
56266,55900
57231,56800
58195,57700
59218,58800
60240,59900
61977,61550
63713,63200
65067,64700
66421,66200
67931,67450
69441,68700
70653,70000
71866,71300
72635,72000
73404,72700
73846,73150
74288,73600
74499,73650
74710,73700
74761,73550
74813,73400
74618,73400
74422,73400
74282,73250
74143,73100
74223,73150
74303,73200
74530,73600
74757,74000
74782,73900
74808,73800
74709,74150
74610,74500
73605,72900
72600,71300
72142,71050
71684,70800
71243,70200
70801,69600
70248,69100
69694,68600
69445,68300
69196,68000
69070,67700
68945,67400
68958,67550
68972,67700
69251,68200
69531,68700
70820,69800
72110,70900
73517,72250
74923,73600
75774,74550
76625,75500
77629,76250
78633,77000
78247,76450
77861,75900
76922,75050
75983,74200
74784,72950
73585,71700
72602,70700
71619,69700
70686,68750
69753,67800
69002,67150
68250,66500
68406,66800
68561,67100
69222,68300
69882,69500
69499,69300
69117,69100
69063,68300
69010,67700
68228,66800
67446,65900
66403,65300
65360,64700
65337,64950
65313,65200
65215,65050
65117,64900
64956,64300
64795,63700
64117,63100
63439,62500
62985,62150
62531,61800
62203,61400
61875,61000
61818,61000
61760,61000
62013,61500
62266,62000
63260,62950
64255,63900
65154,65000
66052,66100
67843,67900
69633,69700
71181,71300
72728,72900
74615,74650
76502,76400
77624,77500
78747,78600
79309,79150
79870,79700
80110,79750
80350,79800
80370,79850
80390,79900
80384,79800
80378,79700
79889,79200
79400,78700
79109,78350
78818,78000
78563,77700
78308,77400
78314,77600
78321,77800
78191,77300
78062,76800
77904,77450
77747,78100
76820,76400
75892,74700
75252,74100
74612,73500
73939,73350
73266,73200
72740,72350
72214,71500
71911,71050
71608,70600
71400,70350
71192,70100
71321,70350
71451,70600
71715,71050
71979,71500
73198,72500
74418,73500
75764,74950
77111,76400
77994,77400
78877,78400
79700,79250
80523,80100
80240,79500
79957,78900
79024,77850
78090,76800
76849,75550
75608,74300
74649,73200
73691,72100
72792,71100
71893,70100
71151,69400
70409,68700
70286,69050
70164,69400
71049,70600
71935,71800
71270,71700
70605,71600
70476,70850
70347,68900
69664,68150
68982,67400
67872,66600
66762,65800
66794,66050
66827,66300
66608,66200
66389,66100
66220,65400
66051,64700
65265,64000
64479,63300
64193,62950
63906,62600
63480,62300
63053,62000
63080,61950
63106,61900
63211,61800
63316,61700
64210,62950
65105,64200
65805,65050
66505,65900
68316,67700
70126,69500
71507,70950
72887,72400
74508,73950
76129,75500
77255,76600
78382,77700
78717,77850
79051,78000
79310,78300
79569,78600
79585,78650
79601,78700
79539,78400
79477,78100
79267,78000
79058,77900
78954,77750
78850,77600
78656,77250
78462,76900
78541,77200
78621,77500
78381,77000
78142,76500
78113,77050
78084,77600
77214,76250
76344,74900
75754,74250
75163,73600
74633,73100
74103,72600
73396,72050
72689,71500
72380,71200
72072,70900
71761,70500
71450,70100
71390,70000
71330,69900
71622,70350
71914,70800
72788,71700
73662,72600
74836,73900
76010,75200
76404,75600
76797,76000
77244,76350
77691,76700
77331,76250
76971,75800
76188,75000
75404,74200
74404,72800
73404,71400
72337,70350
71270,69300
70438,68450
69607,67600
68799,66900
67990,66200
68081,66650
68173,67100
68887,68300
69602,69500
69101,69350
68600,69200
68375,68650
68149,66600
67382,65750
66615,64900
65364,63950
64112,63000
63945,63050
63779,63100
63409,62900
63040,62700
62780,61850
62521,61000
61524,60300
60526,59600
59936,59050
59346,58500
58894,58150
58443,57800
58168,57600
57893,57400
57678,57100
57462,56800
57879,57450
58295,58100
58581,58400
58867,58700
59423,59200
59980,59700
60357,60050
60733,60400
61326,60800
61918,61200
62564,61950
63211,62700
63780,63200
64349,63700
64761,64100
65173,64500
65884,65000
66595,65500
67020,65900
67444,66300
67612,66400
67780,66500
67906,66600
68031,66700
68285,66850
68540,67000
69089,68000
69639,69000
70188,68700
70736,68400
70962,69350
71188,70300
70366,68650
69544,67000
68771,66450
67999,65900
67410,65650
66822,65400
66267,64600
65712,63800
65308,63500
64904,63200
64635,62850
64366,62500
64375,62100
64383,61700
64448,62000
64514,62300
65321,63200
66129,64100
67117,65050
68105,66000
68684,66700
69264,67400
69842,67900
70421,68400
70275,68000
70129,67600
69558,66800
68986,66000
68170,65200
67353,64400
66596,63450
65840,62500
65154,61850
64467,61200
63865,60650
63262,60100
63511,60750
63759,61400
64589,62650
65419,63900
65145,63850
64872,63800
64753,62950
64635,63200
63981,62350
63328,61500
62186,60450
61044,59400
60903,59550
60762,59700
60445,59450
60129,59200
59857,58650
59586,58100
58664,57150
57743,56200
57231,55850
56720,55500
56197,55100
55675,54700
55399,54350
55124,54000
54965,53900
54806,53800
55072,54150
55338,54500
55399,54600
55460,54700
55755,55000
56049,55300
56246,55800
56443,56300
56974,56450
57504,56600
57925,57150
58347,57700
58670,58000
58993,58300
59558,58850
60122,59400
60871,60150
61619,60900
62340,61600
63062,62300
63668,62800
64275,63300
64755,63850
65234,64400
65675,64800
66115,65200
66757,66400
